"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"08.01.2021 06:00 - 08.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","2051","n/e","n/e"
"08.01.2021 07:00 - 08.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","2010","n/e","n/e"
"08.01.2021 08:00 - 08.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1952","n/e","n/e"
"08.01.2021 09:00 - 08.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1894","n/e","n/e"
"08.01.2021 10:00 - 08.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1868","n/e","n/e"
"08.01.2021 11:00 - 08.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1859","n/e","n/e"
"08.01.2021 12:00 - 08.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1846","n/e","n/e"
"08.01.2021 13:00 - 08.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","n/e","1820","n/e","n/e"
"08.01.2021 14:00 - 08.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","n/e","1727","n/e","n/e"
"08.01.2021 15:00 - 08.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","n/e","1592","n/e","n/e"
"08.01.2021 16:00 - 08.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","n/e","1475","n/e","n/e"
"08.01.2021 17:00 - 08.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","n/e","1447","n/e","n/e"
"08.01.2021 18:00 - 08.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","n/e","1467","n/e","n/e"
"08.01.2021 19:00 - 08.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","n/e","1452","n/e","n/e"
"08.01.2021 20:00 - 08.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","n/e","1386","n/e","n/e"
"08.01.2021 21:00 - 08.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","n/e","1282","n/e","n/e"
"08.01.2021 22:00 - 08.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","n/e","1168","n/e","n/e"
"08.01.2021 23:00 - 09.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","n/e","1050","n/e","n/e"
"09.01.2021 00:00 - 09.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","265","n/e","n/e"
"09.01.2021 01:00 - 09.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","259","n/e","n/e"
"09.01.2021 02:00 - 09.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","280","n/e","n/e"
"09.01.2021 03:00 - 09.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","325","n/e","n/e"
"09.01.2021 04:00 - 09.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","368","n/e","n/e"
"09.01.2021 05:00 - 09.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","402","n/e","n/e"
"09.01.2021 06:00 - 09.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","441","n/e","n/e"
"09.01.2021 07:00 - 09.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","492","n/e","n/e"
"09.01.2021 08:00 - 09.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","562","n/e","n/e"
